"12:00A ","12:02A ","12:03A ","12:06A ","12:08A ","12:10A ","12:12A ","12:16A ","12:18A ","12:24A ","——","12:27A ","12:28A "
"12:45A ","12:47A ","12:48A ","12:51A ","12:53A ","12:55A ","12:57A ","1:01A ","1:03A ","1:09A ","——","1:12A ","1:13A "
"1:30A ","1:32A ","1:33A ","1:36A ","1:38A ","1:40A ","1:42A ","1:46A ","1:48A ","1:54A ","——","1:57A ","1:58A "
"2:15A ","2:17A ","2:18A ","2:21A ","2:23A ","2:25A ","2:27A ","2:31A ","2:33A ","2:39A ","——","2:42A ","2:43A "
"3:00A ","3:02A ","3:03A ","3:06A ","3:08A ","3:10A ","3:12A ","3:16A ","3:18A ","3:24A ","——","3:27A ","3:28A "
"3:45A ","3:47A ","3:48A ","3:51A ","3:53A ","3:55A ","3:57A ","4:01A ","4:03A ","4:09A ","——","4:12A ","4:13A "
"4:30A ","4:32A ","4:33A ","4:36A ","4:38A ","4:40A ","4:42A ","4:46A ","4:48A ","4:54A ","4:56A ","4:57A ","4:58A "
"5:00A ","5:02A ","5:03A ","5:06A ","5:08A ","5:10A ","5:12A ","5:16A ","5:18A ","5:24A ","5:26A ","5:27A ","5:28A "
"5:30A ","5:32A ","5:33A ","5:36A ","5:38A ","5:40A ","5:42A ","5:46A ","5:48A ","5:54A ","5:56A ","5:57A ","5:58A "
"6:00A ","6:02A ","6:03A ","6:06A ","6:08A ","6:10A ","6:12A ","6:16A ","6:18A ","6:24A ","6:26A ","6:27A ","6:28A "
"6:30A ","6:32A ","6:33A ","6:36A ","6:38A ","6:40A ","6:42A ","6:46A ","6:48A ","6:54A ","6:56A ","6:57A ","6:58A "
"7:00A ","7:02A ","7:03A ","7:06A ","7:08A ","7:10A ","7:12A ","7:16A ","7:18A ","7:24A ","7:26A ","7:27A ","7:28A "
"7:26A ","7:28A ","7:29A ","7:32A ","7:34A ","7:36A ","7:38A ","7:42A ","7:44A ","7:50A ","7:52A ","7:53A ","7:54A "
"7:52A ","7:54A ","7:55A ","7:58A ","8:00A ","8:02A ","8:04A ","8:08A ","8:10A ","8:16A ","8:18A ","8:19A ","8:20A "
"8:18A ","8:20A ","8:21A ","8:24A ","8:26A ","8:28A ","8:30A ","8:34A ","8:36A ","8:42A ","8:44A ","8:45A ","8:46A "
"8:44A ","8:46A ","8:47A ","8:50A ","8:52A ","8:54A ","8:56A ","9:00A ","9:02A ","9:08A ","9:10A ","9:11A ","9:12A "
"9:10A ","9:12A ","9:13A ","9:16A ","9:18A ","9:20A ","9:22A ","9:26A ","9:28A ","9:34A ","9:36A ","9:37A ","9:38A "
"9:36A ","9:38A ","9:39A ","9:42A ","9:44A ","9:46A ","9:48A ","9:52A ","9:54A ","10:00A ","10:02A ","10:03A ","10:04A "
"10:02A ","10:04A ","10:05A ","10:08A ","10:10A ","10:12A ","10:14A ","10:18A ","10:20A ","10:26A ","10:28A ","10:29A ","10:30A "
"10:28A ","10:30A ","10:31A ","10:34A ","10:36A ","10:38A ","10:40A ","10:44A ","10:46A ","10:52A ","10:54A ","10:55A ","10:56A "
"10:54A ","10:56A ","10:57A ","11:00A ","11:02A ","11:04A ","11:06A ","11:10A ","11:12A ","11:18A ","11:20A ","11:21A ","11:22A "
"11:20A ","11:22A ","11:23A ","11:26A ","11:28A ","11:30A ","11:32A ","11:36A ","11:38A ","11:44A ","11:46A ","11:47A ","11:48A "
"11:46A ","11:48A ","11:49A ","11:52A ","11:54A ","11:56A ","11:58A ","12:02P ","12:04P ","12:10P ","12:12P ","12:13P  ","12:14P "
"12:12P ","12:14P ","12:15P ","12:18P ","12:20P ","12:22P ","12:24P ","12:28P ","12:30P ","12:36P ","12:38P ","12:39P  ","12:40P "
"12:38P ","12:40P ","12:41P ","12:44P ","12:46P ","12:48P ","12:50P ","12:54P ","12:56P ","1:02P ","1:04P ","1:05P ","1:06P "
"1:04P ","1:06P ","1:07P ","1:10P ","1:12P ","1:14P ","1:16P ","1:20P ","1:22P ","1:28P ","1:30P ","1:31P ","1:32P "
"1:30P ","1:32P ","1:33P ","1:36P ","1:38P ","1:40P ","1:42P ","1:46P ","1:48P ","1:54P ","1:56P ","1:57P ","1:58P "
"1:56P ","1:58P ","1:59P ","2:02P ","2:04P ","2:06P ","2:08P ","2:12P ","2:14P ","2:20P ","2:22P ","2:23P ","2:24P "
"2:22P ","2:24P ","2:25P ","2:28P ","2:30P ","2:32P ","2:34P ","2:38P ","2:40P ","2:46P ","2:48P ","2:49P ","2:50P "
"2:48P ","2:50P ","2:51P ","2:54P ","2:56P ","2:58P ","3:00P ","3:04P ","3:06P ","3:12P ","3:14P ","3:15P ","3:16P "
"3:14P ","3:16P ","3:17P ","3:20P ","3:22P ","3:24P ","3:26P ","3:30P ","3:32P ","3:38P ","3:40P ","3:41P ","3:42P "
"3:40P ","3:42P ","3:43P ","3:46P ","3:48P ","3:50P ","3:52P ","3:56P ","3:58P ","4:04P ","4:06P ","4:07P ","4:08P "
"4:06P ","4:08P ","4:09P ","4:12P ","4:14P ","4:16P ","4:18P ","4:22P ","4:24P ","4:30P ","4:32P ","4:33P ","4:34P "
